War or conflicts,Start date,End date,Duration
Vietnamese war of independence against Chinese dynasties,111 BC,7/26/1902,1048 years
Reconquista,12/16/1901,1/31/1904,781 years[1]
Roman–Persian Wars,54 BC,9/19/1901,681 years[*citation needed*]
Germanic Wars,113 BC,7/22/1901,681 years
Byzantine-Bulgarian wars,11/10/1901,9/16/1903,675 years
Ottoman wars in Europe,6/18/1903,4/1/1905,653 years
Bulgarian-Ottoman conflicts,7/27/1903,3/27/1905,609 years
Serbian–Ottoman conflicts,10/1/1352,5/1/1913,560 years and 7 months
Croatian–Ottoman wars,10/1/1443,10/1/1878,435 years
Arab–Byzantine wars,9/20/1901,11/15/1902,421 years
Mexican Indian Wars,2/27/1904,4/16/1905,414 years
Byzantine–Arab wars,2/18/1902,3/25/1903,400 years
Yaqui Wars,3/12/1904,4/12/1905,396 years
Polish–Russian Wars,4/6/1904,4/22/1905,381 years
Philippine revolts against Spain,2/29/1904,3/12/1905,377 years
Yemeni–Ottoman conflicts,3/17/1904,3/25/1905,373 years
Moroccan–Portuguese conflicts,11/15/1903,11/3/1904,354 years
Russo-Turkish wars,4/16/1904,4/1/1905,350 years
Arauco War,3/15/1904,2/25/1905,347 years
Dano-Swedish wars,1/9/1904,12/18/1904,344 years
Spanish–Moro conflict,4/13/1904,3/12/1905,333 years
Ottoman–Venetian wars,9/25/1396,7/21/1718,"321 years, 9 months, 3 weeks and 5 days"
Apache–Mexico Wars,5/18/1904,3/29/1905,315 years
American Indian Wars,5/27/1904,4/7/1905,315 years[*citation needed*]
Russo–Swedish Wars,2/3/1904,12/13/1904,314 years
Ottoman–Persian Wars,2/22/1904,12/27/1904,309 years
Burmese–Siamese wars,10/1/1547,5/1/1855,307 years and 7 months
Hispano–Moroccan wars,8/7/1904,5/11/1905,277 years
Viking invasions of England,3/3/1902,12/1/1902,273 years
Navajo Wars,5/18/1904,2/8/1905,266 years
Ottoman–Habsburg wars,3/5/1904,11/25/1904,265 years
Byzantine–Seljuq wars,11/13/1902,7/31/1903,260 years[*citation needed*]
Polish–Ottoman Wars,12/13/1903,8/25/1904,256 years
Ottoman–Portuguese conflicts,1/20/1904,9/13/1904,237 years
Chechen–Russian conflict,11/19/1904,7/9/1905,232 years
Warring States Period,453 BC,223 BC,230 years
Anglo-Spanish Wars,5/3/1904,12/12/1904,223 years
Byzantine–Ottoman Wars,6/18/1903,1/18/1904,214 years[*citation needed*]
Polish–Teutonic War,7/31/1903,2/29/1904,213 years
Franco-Moroccan conflicts,10/30/1904,5/11/1905,193 years
Cossack uprisings,5/9/1904,11/9/1904,184 years
Russo-Persian Wars,7/8/1904,1/1/1905,177 years
Spanish conquest of Chiapas,3/2/1904,8/21/1904,172 years
Muscovite–Lithuanian Wars,9/29/1903,3/16/1904,169 years
Russian conquest of Siberia,4/28/1904,10/12/1904,167 years
Fitnas,10/17/1901,3/29/1902,163 years
Ottoman–Hungarian Wars,9/27/1903,3/5/1904,160 years
Polish–Swedish wars,4/11/1904,9/16/1904,158 years
Anglo-Dutch Wars,7/9/1904,12/14/1904,158 years
